Field1,Site,site_code,location_n,sample_col,lat,long,RWGROUP,SOC_med,pGPP,TSOI,CLAY,lig_N,dem_extrac,SOC_avg,SOC_min,SOC_max
336,S336,RCCZO,Reynolds Creek CZO,Ryan Will,43.28654277,-116.778822,1,2.49,-54.4290009,11.6964998,29.7248001,11.6999998,1383.630005,2.71,1.94,3.54
329,S329,RCCZO,Reynolds Creek CZO,Ryan Will,43.27973743,-116.8086913,2,4.23,77.8732986,6.6839399,30.1000004,11.6999998,1381.920044,4.05,2.45,5.58
314,S314,RCCZO,Reynolds Creek CZO,Ryan Will,43.25865197,-116.7756558,3,1.47,-171.6009979,12.4345999,29.7000008,11.6999998,1218.73999,1.46,1.09,1.91
304,S304,RCCZO,Reynolds Creek CZO,Ryan Will,43.25439319,-116.7063661,4,1.96,-149.4850006,10.184,21.7999992,11.6999998,1290.410034,1.96,1.28,2.53
294,S294,RCCZO,Reynolds Creek CZO,Ryan Will,43.24722932,-116.7379734,5,0.71,-122.663002,12.5579996,11.3000002,11.6999998,1150.959961,0.71,0.26,1.29
271,S271,RCCZO,Reynolds Creek CZO,Ryan Will,43.24381094,-116.7069646,6,1.37,-269.9020081,10.9443998,12.3000002,11.6999998,1289.619995,1.32,0.68,1.68
272,S272,RCCZO,Reynolds Creek CZO,Ryan Will,43.24391588,-116.7288696,7,1.91,-235.6100006,9.7424402,12.3000002,11.6999998,1193.969971,2.20,1.48,3.34
269,S269,RCCZO,Reynolds Creek CZO,Ryan Will,43.23466902,-116.7465502,8,1.94,-163.3549957,10.8114996,22.1000004,11.6999998,1159.829956,1.94,0.94,3.42
252,S252,RCCZO,Reynolds Creek CZO,Ryan Will,43.21141852,-116.7356752,9,2.15,-96.5361023,11.4284,23.2000008,11.6999998,1238.27002,2.26,1.30,3.65
240,S240,RCCZO,Reynolds Creek CZO,Ryan Will,43.19788121,-116.8123803,10,6.65,235.2810059,8.8485403,14.3000002,11.6999998,1588.609985,6.52,5.55,7.33
226,S226,RCCZO,Reynolds Creek CZO,Ryan Will,43.19237763,-116.7177152,11,1.24,-243.0110016,11.4120998,22.7588997,11.6999998,1339.699951,1.37,0.82,2.10
220,S220,RCCZO,Reynolds Creek CZO,Ryan Will,43.1910335,-116.7813366,12,3.00,113.7300034,11.4491997,21.7999992,11.6999998,1310.839966,2.95,2.43,3.71
211,S211,RCCZO,Reynolds Creek CZO,Ryan Will,43.1856935,-116.8038721,13,2.39,214.5110016,10.3808002,14.3000002,11.6999998,1638.140015,2.63,2.04,3.60
196,S196,RCCZO,Reynolds Creek CZO,Ryan Will,43.16752432,-116.7131573,14,2.53,-16.8381004,10.4827003,29.7000008,11.6999998,1424.060059,2.74,2.08,4.60
182,S182,RCCZO,Reynolds Creek CZO,Ryan Will,43.15738372,-116.7086039,15,2.63,11.7912998,10.1876001,29.8999996,11.6999998,1560.910034,2.52,2.03,2.99
171,S171,RCCZO,Reynolds Creek CZO,Ryan Will,43.15047123,-116.7093699,16,2.01,-128.2120056,11.3430996,29.8999996,11.6999998,1622.930054,1.98,1.54,2.75
167,S167,RCCZO,Reynolds Creek CZO,Ryan Will,43.14401171,-116.7356334,17,3.49,-99.6399994,10.3395004,29.3999996,11.6999998,1617.23999,3.37,2.24,4.55
153,S153,RCCZO,Reynolds Creek CZO,Ryan Will,43.14377305,-116.7690419,18,4.86,174.6260071,11.5256996,24.8181992,11.6999998,1514.189941,4.00,1.90,5.58
102,S102,RCCZO,Reynolds Creek CZO,Ryan Will,43.11066219,-116.7333353,19,6.65,538.6149902,7.0387502,22.2999992,21.3603001,1861.589966,6.90,4.06,11.06
94,S94,RCCZO,Reynolds Creek CZO,Ryan Will,43.10638402,-116.7730514,20,4.82,408.7380066,11.1058998,14.3000002,11.6999998,1585.680054,4.76,3.60,6.06
76,S76,RCCZO,Reynolds Creek CZO,Ryan Will,43.10454054,-116.7381214,21,1.59,4.6346002,10.9979,24.6000004,11.6999998,1868.949951,1.54,0.88,1.94
72,S72,RCCZO,Reynolds Creek CZO,Ryan Will,43.10253977,-116.7837883,22,8.15,1135.640015,9.6892405,20.3999996,22,1701.48999,7.64,4.67,9.22
56,S56,RCCZO,Reynolds Creek CZO,Ryan Will,43.10206491,-116.8024789,23,2.39,680.4650269,11.4967003,20.7000008,11.6999998,1799.390015,2.76,1.03,5.76
54,S54,RCCZO,Reynolds Creek CZO,Ryan Will,43.08383388,-116.7426316,24,4.00,197.4669952,10.7011995,24.6000004,11.6999998,1937.979981,4.47,2.85,7.34
44,S44,RCCZO,Reynolds Creek CZO,Ryan Will,43.07859069,-116.8259174,25,5.67,1024.729981,7.94872,20.3990993,11.6999998,2160.350098,5.23,2.70,6.35
33,S33,RCCZO,Reynolds Creek CZO,Ryan Will,43.06860897,-116.7900028,26,5.07,1020.729981,9.37817,19.7000008,46.7999992,2037.170044,4.97,3.56,6.18
20,S20,RCCZO,Reynolds Creek CZO,Ryan Will,43.06634802,-116.7599298,27,2.93,894.9619751,8.3442497,20.7000008,11.6999998,2087.01001,3.02,2.64,3.98
4,S4,RCCZO,Reynolds Creek CZO,Ryan Will,43.06445505,-116.7485868,28,4.83,362.0429993,7.9433599,20.5,11.6999998,2110.719971,5.07,3.97,9.16
22,S22,RCCZO,Reynolds Creek CZO,Anna Radke,43.066713,-116.7573279,0,7.29,1238.099976,6.0113201,20.50,0.00,2066.11,7.29,7.29,7.29
23,S23,RCCZO,Reynolds Creek CZO,Anna Radke,43.06685152,-116.7569076,0,11.25,1550.569946,7.3241401,20.57,0.00,2060.19,11.25,11.25,11.25
132,S132,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12568301,-116.78562,0,2.03,422.1900024,11.7316999,14.30,11.70,1662.61,2.03,2.03,2.03
135,S135,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12633701,-116.788065,0,2.14,304.9509888,12.3659,14.30,11.70,1707.55,2.14,2.14,2.14
139,S139,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12848567,-116.7966359,0,4.01,1038.119995,10.9372997,20.40,14.70,1778.66,4.01,4.01,4.01
133,S133,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.125801,-116.782742,0,4.33,340.9970093,12.2889004,14.30,11.70,1616.06,4.33,4.33,4.33
108,S108,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12158715,-116.787974,0,5.06,689.4979858,7.6333899,14.30,11.70,1706.36,5.06,5.06,5.06
116,S116,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12292115,-116.782785,0,6.25,704.7609863,6.47193,14.30,11.70,1613.09,6.25,6.25,6.25
113,S113,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12231214,-116.779423,0,8.73,656.2800293,8.4466105,14.30,11.70,1552.47,8.73,8.73,8.73
109,S109,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12187239,-116.785596,0,10.22,873.5079956,7.2474699,14.30,11.70,1658.54,10.22,10.22,10.22
140,S140,RCCZO,Reynolds Creek CZO,Mark S. Seyfried,43.12863212,-116.7968813,0,11.81,1463,10.8129997,20.40,22.00,1781.77,11.81,11.81,11.81
